recipe_id,search_term
324179,dessert
324179,pudding
329598,dinner
416444,dessert
416444,low-sodium
421093,dinner
421093,low-carb
442867,side
448190,healthy
448190,breakfast
454170,low-calorie
454170,healthy
454170,low-carb
454170,low-fat
454170,dinner
454170,soup
457802,dinner
467556,breakfast
467556,casserole
467556,dinner
467556,low-carb
469599,french
469599,dessert
469599,healthy
469599,low-sodium
512986,dessert
523223,dessert
523223,rice
523223,chicken
527503,low-calorie
527503,low-carb
7729,appetizer
7729,noodles
7729,dinner
7729,lunch
81341,fish
81341,dinner
5237,appetizer
5237,chicken
89619,appetizer
89619,indian
89619,lunch
89619,chicken
119052,cookie
119052,dessert
119052,healthy
119052,low-sodium
124417,cake
124417,dessert
132296,low-sodium
132296,vegetarian
132296,healthy
132296,mexican
132296,dinner
141380,pork
141380,dinner
166620,pasta
166620,dinner
166620,vegetarian
166620,italian
168347,side
168347,casserole
168347,dinner
175042,healthy
175042,side
175042,rice
175042,dinner
190436,roast
190436,dinner
190436,pork
192044,vegetarian
204064,low-calorie
204064,low-sodium
248511,seafood
248511,dinner
248511,pasta
262346,appetizer
342853,appetizer
342853,breakfast
342853,dinner
354247,barbecue
356391,dinner
385410,pizza
385410,dinner
391558,chicken
391558,dinner
391558,soup
406461,cake
406461,dessert
406461,low-sodium
407499,dinner
414715,dinner
427980,breakfast
428522,low-calorie
428522,healthy
428522,greek
428522,appetizer
428522,low-fat
431870,lunch
466704,soup
471446,sandwich
471446,dinner
471446,vegetarian
477923,japanese
477923,lunch
477923,snack
496854,low-fat
496854,low-calorie
496854,low-carb
496854,soup
500345,breakfast
500345,baked
67343,dinner
67343,salad
107564,cookie
107564,dessert
110018,rice
110018,low-sodium
110018,healthy
110018,dessert
110018,pudding
145178,breakfast
69913,healthy
69913,southern
69913,low-fat
69913,low-sodium
165888,low-sodium
165888,salad
174219,low-calorie
174219,low-sodium
174219,vegetarian
174219,low-carb
174219,vegan
200083,lunch
200083,cookie
200083,dessert
200083,breakfast
200083,snack
217774,dessert
217774,pie
241397,appetizer
241397,diabetic
241397,dinner
258050,breakfast
258050,gluten-free
258050,spanish
259175,dinner
259175,low-carb
261427,side
261427,low-carb
286598,dessert
321513,breakfast
321804,low-calorie
321804,low-sodium
321804,healthy
321804,pork
321804,low-carb
321804,dinner
337481,chinese
337481,dinner
340413,dinner
340413,salad
354530,dinner
354530,pasta
410749,dessert
410749,quick
410749,low-calorie
410749,southern
415855,low-sodium
415855,gluten-free
415855,lactose-free
415855,salad
441421,dessert
471312,side
471312,low-calorie
471312,low-sodium
471312,italian
482887,salad
482887,sandwich
482887,lunch
482887,english
510264,breakfast
510773,dinner
521090,casserole
521090,dinner
521090,low-carb
28532,mexican
28532,dinner
28532,lunch
28532,chicken
53727,southern
53727,bread
101182,side
101182,low-carb
107164,breakfast
107164,low-calorie
107164,low-fat
107164,low-sodium
115839,fish
115839,dessert
115839,dinner
115839,salad
152116,dinner
152116,low-carb
152116,chicken
158920,dessert
164143,breakfast
164143,low-carb
166627,dinner
166627,barbecue
166627,chicken
178717,low-sodium
178717,salad
178717,low-carb
178717,dinner
178717,shrimp
197991,appetizer
212135,japanese
257453,breakfast
257453,sandwich
257453,lunch
266003,vegetarian
266003,italian
266003,pasta
266003,healthy
266003,dinner
273854,appetizer
273854,dinner
273854,chicken
281689,dinner
305675,chicken
305675,low-carb
305675,turkish
305675,german
310344,dessert
343099,dessert
343099,pudding
343099,bread
358841,breakfast
358841,bread
358841,lunch
383000,dessert
383000,dinner
383128,dessert
383128,low-sodium
409022,mexican
409022,dinner
409022,vegetarian
435778,low-calorie
435778,low-sodium
435778,healthy
435778,low-carb
435778,low-fat
479252,roast
479252,dinner
518005,breakfast
518005,gluten-free
518005,bread
518005,lactose-free
531501,dinner
531501,vegetarian
531501,lunch
7068,healthy
7068,low-fat
7068,low-calorie
7068,low-carb
21132,breakfast
21132,baked
27266,mexican
27266,low-calorie
27266,low-carb
27266,salad
27509,low-sodium
27509,french
27509,healthy
27509,bread
27509,southern
27509,breakfast
77337,appetizer
77337,dinner
77337,fish
97258,casserole
97258,dinner
164312,cake
164312,dessert
166865,low-sodium
166865,dessert
166865,fish
166865,dinner
166865,southern
174284,dessert
174284,pudding
179951,cake
179951,dessert
180387,breakfast
200673,dinner
200673,italian
201322,cookie
201322,dessert
216162,dessert
231028,low-calorie
231028,lunch
231028,vegetarian
231028,healthy
231028,low-fat
231028,snack
252546,side
252546,moroccan
253000,healthy
253000,salad
267949,dessert
267949,low-sodium
268487,mexican
268487,dinner
326843,healthy
326843,low-fat
348112,dessert
348112,pie
352182,lamb
352182,dinner
352182,low-sodium
352182,low-carb
359646,dessert
359646,dinner
399126,dinner
399126,pasta
413570,vegetarian
413570,italian
413570,dessert
413570,appetizer
413570,dinner
413570,bread
428540,appetizer
428540,greek
428540,vegetarian
428540,vegan
437892,snack
463775,fish
463775,pie
463775,dinner
514274,breakfast
514274,indian
514274,low-sodium
15140,dinner
28794,dessert
28794,dinner
28794,light
38459,appetizer
38459,breakfast
38459,indian
38459,dinner
43572,dinner
43572,beef
53518,healthy
53518,side
64903,lamb
64903,chinese
64903,dinner
67055,dinner
67055,chicken
123687,appetizer
123687,lunch
123687,snack
133224,diabetic
133224,dinner
143751,dinner
158419,dessert
159265,side
159265,vegetarian
159320,low-carb
159320,dinner
159320,beef
159320,southern
159320,barbecue
200881,low-calorie
200881,low-sodium
200881,healthy
200881,low-fat
200881,breakfast
202788,breakfast
236801,appetizer
236801,side
239952,spanish
239952,dinner
239952,italian
239952,pasta
270087,dinner
270087,salad
281867,dessert
281867,pudding
281867,low-sodium
299611,side
299611,vegetarian
310201,healthy
310201,rice
310201,low-fat
310201,low-calorie
334374,dinner
345301,low-carb
345301,indian
345301,casserole
345301,dinner
345301,beef
372992,dinner
387741,appetizer
387741,low-carb
408272,italian
408272,low-sodium
408272,vegetarian
408272,side
408272,dinner
422652,cookie
422652,dessert
431381,dessert
431381,diabetic
431381,vegetarian
431381,vegan
449795,dessert
449795,dinner
458421,cake
458421,dessert
460085,french
460085,low-fat
460085,bread
472331,vegetarian
472331,cookie
472331,dessert
472331,gluten-free
472331,vegan
502734,breakfast
502734,greek
502734,low-carb
513811,chicken
11415,lunch
34031,dessert
34031,dinner
34031,lunch
44360,dessert
44360,italian
74307,dinner
74307,low-carb
74307,chicken
139831,cookie
139831,dessert
160882,low-sodium
160882,vegetarian
160882,low-calorie
160882,healthy
160882,low-carb
160882,low-fat
160882,dinner
160882,vegan
229525,lunch
229525,french
229525,appetizer
229525,dinner
229525,bread
229525,spanish
229525,snack
237164,dinner
237164,vegetarian
237164,italian
237304,low-calorie
237304,healthy
237304,low-carb
237304,low-fat
237304,shrimp
247641,cookie
247641,dessert
135977,appetizer
135977,french
268936,soup
268936,noodles
268936,chicken
317428,dinner
338574,sugar-free
338574,salad
351968,appetizer
351968,southern
351968,vegetarian
356063,cookie
356063,dessert
356063,healthy
390060,french
390060,dinner
396897,dinner
396897,chicken
397781,dessert
402456,seafood
402456,southern
402456,dinner
418486,dinner
418486,beef
426174,low-calorie
426174,low-sodium
426174,healthy
426174,low-fat
426174,dinner
466066,dessert
466066,snack
489851,dinner
494880,healthy
494880,dessert
494880,lowfat
494880,vegetarian
511790,healthy
511790,dinner
514500,breakfast
10637,dinner
10637,chicken
37158,low-calorie
37158,low-sodium
37158,low-carb
37158,side
37158,southern
58209,dinner
58209,chicken
96211,italian
96211,low-calorie
96211,low-sodium
96211,creole
96211,low-carb
96211,casserole
96211,dinner
96211,southern
109578,cake
109578,dessert
109578,low-sodium
128376,bread
190159,dessert
190159,low-calorie
190159,dinner
190159,low-carb
203864,salad
225425,pork
225425,dinner
250101,dinner
250101,vegetarian
267687,dessert
302648,dessert
302648,side
302648,low-sodium
302648,salad
367376,korean
367376,dinner
367376,beef
367376,lunch
375905,dessert
392334,dinner
392334,vegetarian
394261,low-calorie
394261,low-sodium
394261,low-carb
394261,beef
394261,soup
397561,rice
397561,low-calorie
397561,lunch
397561,low-sodium
397561,low-carb
397561,snack
403217,low-sodium
428977,low-calorie
428977,low-carb
428977,salad
429424,dessert
429424,spanish
437040,fish
437040,dinner
437040,low-sodium
437040,noodles
447788,cookie
447788,dessert
515773,dessert
515773,chinese
7111,southern
34462,soup
35918,healthy
35918,dessert
49152,dessert
56586,low-calorie
56586,low-sodium
56586,low-carb
56586,low-fat
56586,dinner
56586,chicken
67175,french
67175,dessert
67175,dinner
67175,low-sodium
78253,cuban
78253,dinner
78253,caribbean
99672,dinner
99672,chicken
107410,thai
107410,dinner
125843,bread
169281,salad
169281,lunch
169281,german
171633,lamb
171633,low-calorie
171633,low-sodium
171633,healthy
171633,low-fat
184543,southern
184543,dinner
184543,chicken
251555,mexican
251555,dinner
270076,appetizer
270076,side
305380,dessert
305380,low-sodium
305380,german
327635,dinner
327635,italian
327635,chicken
338383,casserole
338383,dinner
357841,appetizer
357841,healthy
357841,low-fat
357841,low-calorie
373000,diabetic
373000,dinner
373000,lactose-free
379639,vegetarian
379639,salad
379639,side
379639,lebanese
379639,vegan
385034,appetizer
385034,sandwich
385034,lunch
397988,dinner
401631,breakfast
401631,rice
445732,pork
445732,dinner
450426,soup
450426,italian
472871,southern
472871,stew
472871,low-calorie
472871,low-carb
517375,dinner
3818,cake
3818,dessert
3818,pudding
27615,roast
27615,low-sodium
27615,french
27615,low-carb
27615,dinner
27615,beef
50874,dessert
50874,dinner
86560,low-calorie
86560,low-sodium
86560,healthy
86560,low-carb
86560,fish
86560,low-fat
86560,dinner
89253,bread
89253,salad
116672,low-calorie
116672,low-sodium
116672,healthy
116672,mexican
116672,low-fat
116672,dinner
133054,appetizer
135585,chicken
135585,dinner
135585,baked
168848,dessert
174815,healthy
174815,low-sodium
187394,dinner
187394,pasta
208916,appetizer
208916,mexican
208916,chicken
231539,low-calorie
231539,vegetarian
231539,salad
231539,healthy
231539,low-carb
231539,side
231539,low-fat
231539,vegan
235138,appetizer
235138,mexican
235138,dinner
235138,low-carb
243579,side
250973,dessert
258142,fish
258142,dinner
258142,baked
281529,low-calorie
281529,low-sodium
281529,healthy
281529,side
281529,gluten-free
281529,low-fat
312061,healthy
312061,low-calorie
312061,low-sodium
312061,low-carb
336168,dessert
336168,low-sodium
342432,mexican
342432,dinner
342432,low-carb
342432,chicken
351464,casserole
351464,dinner
351464,low-carb
354789,dinner
354789,shrimp
385032,low-calorie
385032,low-sodium
385032,dessert
385032,healthy
385032,low-carb
385032,low-fat
385032,breakfast
508652,dessert
423430,greek
423430,dinner
423430,vegetarian
423430,lunch
511663,dinner
511663,chicken
512630,side
512630,low-calorie
512630,low-carb
514512,dinner
514512,salad
523259,healthy
523259,pie
523259,dinner
523259,beef
526022,italian
526022,baked
526022,low-carb
526022,dinner
526022,chicken
688,cookie
688,dessert
688,lunch
688,snack
12572,appetizer
12572,southern
12572,dinner
12572,chicken
16809,dinner
16809,low-carb
16809,chicken
26457,dessert
26457,pie
26457,dinner
29269,southern
29269,dinner
49827,dessert
49827,gluten-free
49827,vegetarian
49827,vegan
96399,lunch
96399,low-carb
96399,dinner
96399,snack
96399,chicken
117187,dinner
117187,chicken
123755,dessert
123755,pie
139213,low-sodium
139213,vegetarian
139213,low-carb
139213,mexican
139213,breakfast
141963,dinner
141963,vegetarian
193874,side
204621,side
204621,dinner
204621,noodles
211481,dinner
211481,pasta
217727,low-sodium
217727,dessert
217727,healthy
217727,gluten-free
217727,lactose-free
241748,breakfast
294181,dinner
294181,pasta
294181,chicken
314501,appetizer
314501,dinner
